X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
14,13,16.6,3,14.1,17,3.9,36.1,2,4,448,10,3.25,440.34,1
8,13,16.1,4,12.2,21,3.7,26.4,0,4,390,10,0.68,28.44,8
11,5,16.0,0,14.1,22,3.7,30.6,74,2,463,7,1.80,184.07,4
3,2,17.7,4,14.7,21,3.7,33.7,0,4,1234,11,1.63,146.12,2
5,3,16.4,0,12.6,24,3.9,26,2,3,1295,11,1.51,163.46,15
12,14,14.8,1,10.2,18,3.9,36.5,1,4,60,9,0.41,52.22,1
24,13,16.0,3,11.8,26,4,44.1,1,5,537,11,0.89,91.46,7
19,3,15.7,3,10.8,19,3.8,45.4,0,2,667,6,0.84,41.37,5
21,4,14.9,6,9.6,18,4.1,56.8,41,3,826,8,9.28,204.56,8
21,7,14.7,4,9.3,17,3.5,36.2,1,2,500,6,2.03,367.94,8
12,14,14.9,2,5.7,23,3.9,37.8,1,4,769,10,1.49,167.25,1
13,13,16.4,4,14.9,18,3.9,45,0,2,1073,6,3.06,268.37,9
16,4,16.3,3,12.4,31,3.7,33.7,1,4,385,11,6.99,834.91,6
12,14,15.4,1,11.6,24,3.3,46.4,51,4,482,8,1.78,298.36,1
24,13,15.8,4,13.1,16,3.4,32.9,2,2,1108,7,5.21,385.03,13
21,13,15.6,2,11.6,21,3.9,33.7,3,3,531,10,2.27,252.88,8
16,5,17.2,1,13.4,20,4,28.8,0,3,1175,6,0.32,31.15,12
14,7,15.8,3,11.9,21,3.9,22.3,2,3,681,6,5.71,652.83,11
16,9,16.1,1,10.6,17,3.7,31.6,0,2,786,7,1.60,76.03,12
24,11,15.8,0,11.6,22,3.9,37.2,0,3,381,10,1.36,48.91,13
11,5,15.5,3,14.5,17,3.9,40.8,0,3,800,9,2.59,243.43,15
24,11,15.6,1,12.8,19,3.7,26.8,0,4,240,10,1.79,99.72,13
19,3,15.4,1,15.5,19,4.1,36.5,0,3,752,9,0.67,93.96,5
12,4,15.9,0,12.2,20,3.4,31.8,15,3,705,9,2.39,208.32,3
12,8,17.7,3,15.3,17,3.7,27.3,1,4,527,11,4.13,494.4,14
24,8,18.1,4,16.1,28,4,37.8,0,2,655,6,1.25,144.56,13
16,14,16.7,1,13.4,15,3.9,41.9,0,3,706,9,0.74,98.9,6
16,1,15.8,2,15.1,18,3.9,32,0,3,809,10,2.47,204.63,10
23,7,16.6,6,8.7,30,3.9,39.6,0,4,892,11,1.59,130.01,7
9,5,15.5,3,11.4,22,3.8,25.4,47,2,739,7,8.99,974.99,12
19,14,15.3,2,8.9,20,3.6,32.2,0,3,758,7,1.60,128.43,13
2,13,16.5,0,12.5,15,3.9,25.5,0,4,1143,10,0.25,25.37,14
21,3,15.8,0,9.9,19,3.9,46.2,0,3,320,9,0.63,27.39,8
7,13,15.8,0,12.3,17,3.4,39,0,3,699,10,1.79,82.9,15
16,7,15.8,3,14.6,30,3.9,50.9,0,2,649,7,3.25,210.49,6
21,7,16.0,1,13.6,25,3.4,40.6,64,3,716,9,2.47,163.1,11
14,5,15.3,4,9.1,31,4,28.3,7,2,866,7,6.78,571.38,11
19,11,15.6,3,11.3,24,3.6,34.4,0,4,986,10,0.44,45.02,5
2,14,15.0,2,13.4,28,3.8,36.4,0,3,853,8,2.63,256.31,14
21,13,15.9,3,12.3,27,3.7,23.3,92,3,429,8,1.96,243.86,11
12,4,15.4,3,13.2,29,3.9,44,1,3,412,7,3.14,318.86,14
7,13,16.2,4,12.6,31,3.9,33.5,15,4,519,11,7.79,894.35,11
7,13,15.0,3,7.9,21,3.6,41.3,95,3,1366,9,3.99,303.4,4
18,13,15.6,5,9.7,24,3.7,40.2,1,3,702,9,1.91,131.41,10
21,13,16.1,5,16.7,20,3.7,25.1,47,3,888,9,3.06,339.18,8
11,3,16.2,4,13.6,19,3.9,26.3,23,2,1049,7,14.69,472.55,4
24,11,16.0,2,12.3,20,3.9,32.8,0,2,1335,9,1.16,74.14,13
14,2,16.2,2,14.2,29,3.9,44.3,1,4,949,10,4.59,549.49,15
2,14,15.0,2,12.9,24,4.1,49.3,1,4,241,10,2.12,213.09,1
23,13,16.7,3,13.2,18,4.1,34.8,0,3,841,10,1.21,50.11,10
12,5,16.4,2,11,25,4,26.1,0,3,761,6,2.64,272.45,1
16,3,16.6,0,14.8,31,3.8,39.5,0,3,251,7,2.10,117.93,12
14,7,16.3,2,14.8,28,3.9,31.1,0,3,421,9,0.21,23.24,11
21,7,15.3,2,13,26,3.6,31.5,1,3,934,10,5.93,637.39,8
9,14,16.3,2,13.3,30,3.7,37.6,0,4,767,11,10.96,43.58,12
21,2,17.7,3,13.9,23,3.6,22.6,0,4,494,11,1.50,65.48,11
24,11,15.9,0,13.8,18,3.8,39.9,8,3,523,8,2.14,61.5,9
12,11,16.2,0,14.2,28,3.9,38.6,0,4,830,10,0.29,32.76,3
9,10,15.3,1,14.1,19,3.7,28.7,0,4,321,10,0.75,168.6,12
13,8,17.0,0,13.7,26,4,34.1,0,2,743,6,1.55,169.15,2
24,13,16.1,3,7,17,3.8,53.2,17,3,1080,10,2.53,169.85,9
16,4,15.2,8,11.5,18,3.9,30.5,1,3,849,8,1.52,256.8,12
13,2,16.2,1,12.6,24,3.6,29.5,2,3,558,10,4.75,377.95,5
21,14,16.0,1,14.5,21,3.7,34.1,0,5,1053,11,0.39,37.35,8
16,4,16.2,6,17.8,23,3.8,36.2,91,4,364,9,5.43,281.68,6
24,7,15.3,2,12.5,27,3.5,23.9,49,3,1054,8,1.30,174.77,13
5,13,15.9,1,11.7,23,3.7,38.1,9,3,1106,9,1.12,171.46,15
7,5,15.9,2,10.9,23,3.1,40.2,1,3,501,9,3.56,237.5,15
22,2,16.6,3,12.8,19,3.5,39.6,0,3,1073,10,0.29,32.95,2
13,13,15.7,3,15.5,22,3.7,38.8,95,3,281,9,2.28,190.35,5
16,4,14.6,4,10.5,20,3.8,36.7,0,2,945,6,0.68,51.8,1
16,4,14.8,4,9.5,16,3.6,37.6,1,2,286,6,0.74,78.17,12
21,13,16.4,3,14.3,19,3.4,31,2,4,505,11,2.80,193.22,11
11,7,14.6,5,11.4,15,3.8,33,2,2,1122,6,5.11,461.77,7
23,7,15.8,1,16.1,15,4,29.4,0,3,677,10,0.42,31.71,7
16,1,16.2,4,11.8,18,3.8,29.5,2,3,674,7,3.40,496.17,10
12,5,15.6,2,12.9,16,3.6,43.1,93,4,661,9,3.18,133.09,1
12,5,15.2,1,12.3,24,3.7,38.1,0,3,526,9,0.94,63.04,1
21,13,15.2,4,13.5,21,3.1,31.1,52,3,749,9,10.40,978.09,11
23,13,16.0,1,11.6,22,3.6,38.8,1,4,843,10,1.60,99.37,10
13,13,15.0,3,10.7,22,4.1,26.1,1,3,1159,8,3.54,266.3,9
21,3,17.1,1,11.1,26,3.9,32,0,4,793,11,0.38,20.86,15
13,7,14.7,2,10,16,3.8,38,0,3,844,10,1.34,117.93,2
19,5,16.8,4,9.3,26,4,34.2,0,4,414,9,2.17,134.96,5
16,4,15.2,6,10.4,24,3.5,30.2,0,3,657,10,0.26,16.38,10
12,14,14.8,1,9.2,20,3.7,32.5,0,2,692,7,3.52,359.94,5
7,13,15.0,6,12.1,23,4,33.1,0,2,510,8,2.35,217.94,11
16,13,16.7,2,12.2,20,3.9,37.4,1,2,715,6,0.40,183.28,12
20,1,15.6,4,14.3,17,3.9,36.9,0,2,624,7,0.66,52.05,15
23,11,15.9,0,9.7,21,3.9,27,5,2,527,8,5.57,487.19,7
2,5,15.6,1,13.5,22,3.4,16.9,1,2,679,6,3.70,396.86,9
12,5,15.2,2,13.2,20,3.9,44.9,0,3,906,9,0.60,73.83,6
13,13,16.0,2,14.2,19,3.9,47.4,1,4,850,10,0.77,88.06,2
16,4,14.6,3,12.4,19,3.4,35.7,0,2,603,6,2.23,240.23,12
9,4,14.7,1,9.5,15,3.9,39.9,1,3,857,8,2.51,396.64,12
16,4,14.7,0,12.3,17,3.9,19.2,7,3,697,9,6.00,747.22,12
21,13,15.9,0,12.6,21,4,25.2,41,3,941,10,7.64,824.78,15
2,7,14.9,1,12.7,16,3.6,45.6,0,2,917,6,0.28,29.96,14
16,7,15.1,3,9.4,25,3.9,34,0,2,1020,7,0.32,21.42,10
14,2,16.0,3,11.4,29,3.9,33.5,0,3,711,9,0.41,74.41,11
19,7,17.1,3,15.9,25,3.6,42.4,0,2,935,6,0.32,42.06,13
2,2,16.7,3,13.9,27,3,38.2,7,4,939,11,5.76,652.34,9
24,11,16.2,1,14.8,24,3.9,26.4,1,3,432,7,0.66,54.31,13
16,7,16.5,0,17.1,21,3.3,48.1,0,4,739,11,0.80,41.9,6
2,11,16.0,1,12,23,4,31.9,1,4,759,10,2.24,251.48,9
24,13,16.3,4,12,26,3.6,34.7,1,4,699,11,2.98,151.3,9
9,5,15.2,1,11.7,24,3.5,38.1,0,3,429,7,0.79,85.03,12
7,4,15.1,5,12.1,22,3.7,30.3,0,4,707,10,0.80,31.09,4
5,7,16.2,1,12.7,25,4,49.8,0,3,643,10,0.60,54.14,15
16,5,16.2,2,12.7,24,3.6,38.3,5,4,547,11,0.40,653.19,12
1,7,14.8,0,9.3,20,3.8,29.9,1,2,813,9,1.36,148.52,1
16,7,15.6,0,9.8,16,4.2,39.3,0,2,611,8,1.22,168.53,10
16,7,14.8,2,12.7,22,4,39.9,1,3,1203,9,2.81,219.02,12
17,13,16.3,3,12.6,27,3.7,19.4,6,4,717,10,6.66,521.1,9
7,13,16.0,2,13.1,24,4.1,27.9,1,3,723,11,4.26,462.26,11
2,5,17.0,0,14.1,19,3.6,46.1,0,3,333,9,1.11,130.56,15
14,5,16.1,3,12.1,27,3.9,35,1,3,582,7,1.41,169.33,9
19,5,15.4,2,15.9,20,4.2,33.6,2,3,1494,8,1.59,122.78,13
12,4,14.6,3,13.3,28,3.8,18.8,4,2,775,6,6.83,624.03,9
11,13,17.2,1,10.6,17,3.3,45.6,0,2,564,6,0.69,46.33,4
1,13,16.8,4,13.5,21,3.9,46,0,3,506,9,0.83,115.03,9
9,1,15.7,3,12.6,20,3.9,38.3,0,2,704,6,1.34,119.47,12
11,3,15.8,1,14.7,19,3.8,29.7,0,2,1149,7,0.35,47.38,4
12,5,15.7,6,13.3,29,3.9,36.6,1,2,348,6,5.61,499.76,1
17,13,15.7,1,8.5,21,3.7,27.8,1,3,467,8,2.21,252.74,9
16,7,16.2,3,17.5,15,4.1,33.4,0,4,981,11,3.17,188.8,6
21,4,16.4,5,13.5,23,3.6,25.5,0,4,802,11,2.17,106.38,8
21,4,16.0,4,14,27,4.1,26.9,0,4,426,11,2.10,145.57,8
14,2,16.2,4,15.6,20,4,40,0,4,1040,10,1.34,154.19,15
18,13,15.4,0,9.7,19,3,41.6,43,3,678,9,2.50,369.64,11
23,13,16.2,3,12.1,24,3.8,37.1,54,4,976,10,7.13,754.76,7
16,5,15.7,0,13.1,10,3.8,33.7,0,4,345,9,3.73,487.68,10
16,14,15.0,1,8.6,23,3.9,35,3,2,656,7,4.68,593.99,12
16,4,15.8,5,10,19,3.4,37.7,0,2,1059,7,0.49,48.51,14
17,13,15.6,6,10.6,22,3.8,33.3,32,3,485,8,3.69,186.3,9
16,5,15.8,3,8.1,19,3.6,43.7,0,3,552,10,1.48,139.75,12
2,4,14.4,4,12.7,16,3.9,26.3,5,3,766,8,0.73,100.36,9
2,5,16.6,2,15.4,23,3.5,36,31,3,325,9,5.44,458.68,14
11,3,16.0,1,15.1,14,4.1,28.1,0,2,1350,8,0.37,41.04,4
17,13,15.8,2,12.9,18,3.8,33.2,30,3,695,7,8.06,754.94,9
12,4,15.1,4,6.7,28,3.9,24.3,1,2,663,7,4.68,419.12,9
14,13,15.1,1,9.3,26,3.5,29.5,1,3,420,8,2.07,269.13,15
11,14,15.8,3,11.4,22,3.8,18.1,2,3,434,10,4.94,574.19,4
16,4,15.0,0,7,13,3.9,38.4,1,3,493,8,5.97,311.2,12
16,5,16.5,2,15.1,27,3.9,41.4,30,3,635,9,3.04,224.01,10
12,5,16.3,0,9.4,16,3.5,27.9,0,3,367,9,0.42,55.95,9
1,14,15.3,3,11.2,22,3.4,39.7,0,2,959,7,2.55,207.31,1
11,14,14.9,1,10.4,20,3.6,51.4,21,2,218,7,6.86,351.23,4
21,14,16.4,0,11.3,21,3.6,52.4,2,3,826,9,6.02,715.81,4
19,11,15.9,0,13.8,19,3.7,38.1,0,2,307,8,0.72,86.41,13
16,12,16.1,1,11.1,25,3.6,32.8,0,2,326,7,0.69,78.82,12
19,13,15.9,2,10.7,10,3.9,35.5,4,2,448,7,1.89,177.8,13
7,11,15.3,2,12,26,3.7,41.6,11,3,531,8,0.40,11.64,15
19,4,16.4,4,15.2,21,3.7,29.5,0,4,743,11,0.80,105.25,13
2,2,16.2,3,12.6,21,3.7,36.5,1,4,537,10,2.51,278.23,1
16,5,15.5,1,10.3,22,3.9,43.9,0,3,806,9,0.76,126.85,12
23,2,16.5,0,16.8,23,3.9,59.1,1,3,342,8,1.61,183.11,10
23,7,15.6,3,15.8,20,3.8,34.9,0,3,891,10,0.62,99.48,10
22,2,16.7,2,13.2,23,3.5,27.4,10,4,628,11,4.15,519.49,2
16,14,15.8,1,8.4,21,3.6,19.3,0,3,263,8,0.69,43.23,15
21,5,15.4,1,12.2,16,4.1,23.3,1,2,545,8,0.98,176.88,8
13,11,17.4,1,17.4,23,3.4,38.2,39,3,530,7,6.70,702.9,5
23,2,16.2,6,13.4,20,3.7,46.7,3,4,749,10,2.43,175.56,10
16,9,16.0,1,12.6,21,3.9,47.2,0,2,959,8,0.58,94.66,12
17,11,15.7,0,13.3,16,3.4,41.7,105,3,467,8,3.34,249.89,9
23,1,15.8,2,11.7,20,3.8,39.1,3,2,663,8,1.85,176.08,10
5,7,15.3,1,11.2,21,3.7,40.1,1,3,346,8,3.05,334.34,8
13,14,16.0,0,15.8,15,3.7,34.1,1,4,563,11,3.16,334.01,5
16,7,15.8,3,11.6,18,4.1,33.5,1,3,997,10,5.33,441.92,6
5,5,15.6,5,12.4,20,4.2,39.6,0,3,1168,10,2.47,277.37,15
19,5,16.8,4,14.9,24,4,43.9,0,3,716,9,1.49,96.48,5
2,1,16.0,0,12.9,21,3.4,30.2,1,2,321,8,1.33,140.25,15
16,7,14.9,0,9.5,15,3.6,42.3,0,3,797,7,1.04,128.38,12
21,14,15.1,0,8.5,21,4,46.2,0,3,1103,8,0.86,84.49,4
16,4,15.3,0,11.2,20,3.4,42.3,1,1,853,7,3.41,200.32,12
23,7,16.3,3,14.3,18,3.6,37.3,1,3,939,11,4.91,440.2,7
7,7,15.8,1,11.8,24,4,27.3,72,3,701,9,7.73,843.78,11
15,13,14.6,4,10.4,27,3.6,35.5,3,2,434,6,2.30,257.34,7
7,13,16.4,3,13.4,23,3.6,43,29,4,283,9,1.99,206.49,15
15,13,16.7,4,10.3,20,3.7,29.7,9,2,683,6,2.92,220.59,7
11,5,14.6,6,6.6,22,3.6,37,2,2,874,6,3.67,263.16,4
21,7,15.0,4,9.5,22,3.5,18.5,2,1,675,6,10.84,957.84,11
16,5,15.0,1,11.8,24,3.6,41.5,1,3,656,8,1.09,206.16,1
12,5,16.3,0,14,13,4,24.1,0,4,712,11,2.93,175.75,1
16,11,17.1,1,11.3,20,4.1,27.4,0,3,762,11,0.68,52.03,1
19,3,15.6,2,8.6,18,3.7,39.3,0,2,639,7,0.48,32.41,13
21,3,16.0,3,14.5,25,3.6,32.3,0,3,720,10,0.91,54.61,11
16,9,16.3,1,12.4,20,3.7,20.4,0,2,741,8,2.91,144.18,12
12,5,15.5,1,11.3,25,3.6,32.9,3,3,377,7,4.32,629.4,14
16,7,15.2,2,10,28,3.6,25.9,32,3,373,8,5.24,450.8,10
7,7,15.6,3,16.3,23,4.2,35.2,0,3,824,8,0.43,26.43,11
13,10,17.0,2,14.4,19,4.1,30.5,0,4,981,11,2.21,196.49,2
21,5,15.8,3,12.7,25,3.8,39.4,59,4,822,10,2.30,171.87,8
6,5,16.1,5,10.8,22,3.8,34.6,0,2,807,7,1.75,146.57,3
21,14,16.0,3,13.6,25,4,37.2,0,4,873,11,0.90,96.98,8
2,2,16.7,3,16.6,18,3.7,36,51,3,441,7,1.90,183.61,9
21,7,15.4,2,13.2,23,3.6,35.7,13,3,348,10,4.34,333.88,11
7,13,15.9,4,17.1,24,4,29.7,0,4,924,11,1.85,113.06,15
24,11,15.6,1,9.7,24,3.8,39.1,0,3,439,8,0.80,77.31,7
24,2,16.5,3,8.6,23,3.8,32.2,0,4,772,11,0.42,19.44,7
21,5,15.3,1,9.4,21,3.8,41.9,79,3,1015,9,3.54,343.38,6
16,4,15.3,4,13.9,34,3.8,37.6,7,2,1550,7,5.19,614.06,6
21,13,16.0,0,17.7,14,4.1,30.4,1,3,454,10,4.88,463.99,8
24,3,15.6,0,10.4,18,3.8,47.6,0,2,681,7,0.41,15.24,13
18,7,16.6,2,14.1,22,3.4,42.9,0,4,473,11,1.45,80.26,8
14,7,16.1,2,10.4,18,3.9,40.2,1,3,1026,9,4.08,477.38,15
21,7,14.6,1,10.8,24,3.7,43.1,0,4,717,10,1.04,94.04,8
19,4,16.3,5,13.7,22,3.7,40.5,0,3,700,9,0.84,38.23,5
2,2,17.0,3,13.1,22,3.7,41.5,1,4,973,11,2.52,301.4,9
14,14,15.4,0,14.5,24,3.8,30.3,1,2,629,9,2.23,357.38,9
16,14,14.7,2,14.6,17,3.8,25.6,0,2,331,8,0.51,63.59,12
12,11,15.8,1,15.1,22,3.9,39.4,26,3,1136,8,1.51,214.15,1
16,13,16.6,5,11.1,20,4,35.5,0,4,875,11,3.44,184.27,1
7,5,15.8,1,11,15,3.5,39.9,0,4,1103,10,0.77,78.83,15
16,7,16.1,1,13.5,22,3.8,42.3,1,3,421,9,3.90,292.62,6
16,9,15.8,1,12.6,19,3.7,50.5,45,2,485,7,0.89,93.27,12
12,2,15.9,0,9.9,22,3.4,28.2,0,3,681,9,0.50,72.47,1
18,5,15.7,5,13.8,26,3.7,33.4,0,3,371,10,2.44,70.86,13
16,5,17.7,3,13.7,19,3.8,47.4,21,3,542,7,3.58,402.33,10
16,5,16.0,2,13.5,24,3.9,48,2,3,760,8,3.97,280.96,10
11,2,16.8,3,15,21,3.9,30.3,3,4,927,11,7.98,613.83,4
13,2,15.9,0,15.1,27,3.5,28.9,80,3,585,9,12.32,1204.58,2
16,13,16.0,5,10.5,31,3.8,37.7,0,3,462,11,2.88,218.75,8
5,14,16.9,2,12.1,21,3.3,41.8,0,3,610,9,0.89,75.67,10
11,13,15.6,3,8.2,28,3.7,26.2,7,3,1348,7,9.21,737.45,4
21,13,14.9,3,7.4,22,4,41.2,0,3,392,8,1.51,126.52,8
21,7,15.2,3,10.1,23,3.7,23.6,3,2,555,7,5.02,527.25,11
21,2,15.8,4,10,35,3.4,36.5,64,3,952,9,5.15,436.54,4
5,5,15.7,2,10.3,18,3.2,49.6,5,3,313,8,3.86,436.5,4
13,14,14.9,0,10.4,21,3.8,33.4,0,3,535,8,0.77,67.41,9
19,5,15.1,4,11.8,25,3.9,30.2,0,3,649,8,0.28,18.97,13
19,13,15.7,4,11.4,20,3.9,45.1,1,3,1022,7,3.59,246.84,13
21,7,14.8,2,11.6,25,3.5,44.3,0,3,1037,9,2.46,181.96,10
24,2,18.6,2,15.5,20,3.8,39.2,0,2,843,7,1.93,192.37,13
24,14,15.8,1,13.4,21,4.2,39.8,0,3,849,8,1.57,179.65,7
16,9,17.1,2,13,27,4,31.6,0,2,835,6,1.23,172.79,12
16,4,16.5,4,12.3,13,3.7,51.2,0,4,524,11,1.61,35.48,10
24,14,16.2,3,11.1,25,3.8,42.7,0,4,825,11,0.37,33.43,7
13,8,15.1,1,12.5,19,3.9,31.2,0,3,1079,7,1.49,156.09,2
2,5,15.4,4,12.4,24,3.9,47.9,2,2,379,7,7.41,676.58,15
16,12,16.0,0,8.9,12,4,42.8,1,3,816,8,0.67,102.98,12
14,2,15.0,3,10.7,18,3.7,37.9,0,3,37,9,0.62,70.9,15
5,5,15.0,1,14,20,3.7,32.3,1,3,473,8,5.56,510.8,15
13,14,14.6,3,8.8,26,4,32.9,0,3,352,10,0.47,26.84,14
11,5,15.1,1,11.1,29,3.4,36.9,1,3,1066,8,6.36,378.01,4
21,3,16.0,3,8.4,28,3.8,40.3,0,4,858,10,0.80,49.88,11
23,5,15.5,2,13.7,20,4,36.1,4,3,611,8,3.86,357.04,10
21,4,14.9,5,11,20,4,39.1,0,4,817,9,1.19,67.32,10
13,4,14.6,4,11.8,23,3.8,43.6,0,2,499,6,1.35,56.73,7
5,13,16.0,4,13.4,28,4.1,23.5,24,4,849,11,6.31,532.81,10
11,7,15.3,3,13.3,16,3.7,41.5,0,2,640,7,0.36,38.97,4
21,1,16.5,0,13.1,22,3.7,29,1,3,809,8,2.36,232.55,8
17,2,16.7,5,14.7,29,3.5,31.6,131,3,1336,9,4.54,350.28,9
24,13,16.8,1,13.8,18,3.4,35.8,1,3,286,9,1.60,123.16,13
7,13,15.4,3,10.6,28,3.9,44.6,6,2,221,8,4.09,353.38,11
18,13,16.4,0,11.1,18,3.3,37.5,0,4,304,11,1.19,75.36,4
10,14,15.0,2,10.2,21,3.5,15.7,2,2,617,7,3.67,518.58,3
23,5,15.8,3,12,26,3.3,34.6,51,3,314,10,4.12,300.33,10
23,6,16.6,4,13.7,18,3.6,36.9,6,4,625,10,6.16,550.24,7
16,4,14.5,2,11.6,21,3.6,25.8,2,2,690,8,6.79,746.53,12
13,13,15.6,0,12.9,22,4,46.8,0,2,1029,7,0.91,80.73,2
21,4,14.8,3,11.7,23,3.7,41.2,1,3,151,9,4.36,216.35,6
12,5,15.6,2,9.9,20,3.4,45.7,64,4,979,10,6.54,610.49,1
24,14,15.8,0,12.9,20,3.6,31.7,0,3,777,7,1.36,143,7
13,7,16.0,1,13.7,20,3.8,33.4,3,3,587,9,2.63,264.03,8
21,9,16.7,1,15.5,22,3.5,45.8,2,3,1076,9,4.28,386.81,8
22,13,16.3,2,13.3,26,3.7,26.2,1,4,691,11,4.97,536.12,2
16,12,16.0,0,10.7,21,3.6,36.1,1,3,721,8,0.89,92.92,14
16,14,15.6,0,10.5,14,4,39.6,0,3,656,8,0.59,45.98,12
11,14,15.1,3,12.2,28,3.8,26.7,0,2,875,7,2.33,77.12,7
18,6,15.6,5,8.9,22,3.7,31.5,0,3,322,10,2.42,39.7,13
11,2,16.2,4,10.8,24,3.9,43,0,3,1017,10,2.74,197.81,4
2,2,16.2,2,12.5,26,3.5,38.1,0,4,934,10,3.00,351.27,9
19,5,16.3,1,12.2,14,3.7,37.2,27,3,484,7,2.10,239.45,13
7,14,15.7,2,12,17,4,30.9,2,2,628,7,7.34,920.3,15
16,8,15.4,2,9,25,3.3,38.5,59,3,545,9,4.18,557.43,14
18,7,15.2,2,12,24,3.5,23.2,1,3,1206,10,2.53,312.93,8
21,7,14.9,2,12.5,29,3.7,43.5,0,3,266,7,1.49,161.86,8
14,5,16.4,4,12.7,20,3.8,46.4,0,2,643,6,1.26,93.3,15
21,4,15.9,2,13.6,31,3.8,28.1,0,3,740,9,3.66,52.98,6
16,14,15.6,0,9.3,20,3.7,29.2,0,3,1188,8,1.23,150.32,10
14,5,16.0,3,14.3,23,3.9,44.9,0,3,1115,10,1.53,142.89,15
20,13,15.7,3,11.7,26,3.4,23.7,3,2,895,7,3.09,233.17,7
24,7,15.8,1,15.4,18,4,31.6,0,4,1380,10,0.95,109.14,7
5,7,16.4,3,15.1,21,3.6,36.8,2,4,517,11,8.30,685.22,15
2,7,15.4,2,10.5,16,4,27.8,0,4,383,9,1.07,102.68,14
5,2,16.4,3,11.8,20,3.9,30.4,0,3,293,9,0.37,28.29,10
21,13,15.5,5,11,25,3.6,27.4,42,4,598,9,3.05,304.59,8
2,5,16.7,3,10.2,27,3.8,39.6,1,2,438,6,2.07,123.1,9
16,7,15.6,1,11.6,22,4.2,29.7,1,3,621,8,1.38,282.6,6
16,9,15.6,3,12.2,22,3.8,43.4,0,3,850,7,0.95,93.25,12
12,14,15.8,1,10.3,26,3.9,38.1,0,4,690,10,0.62,63.97,1
12,4,15.1,1,9.4,25,3.6,21,31,2,610,7,2.31,266.54,1
12,5,15.6,1,12.7,26,3.8,39.4,57,2,717,7,3.00,313.2,1
9,9,15.8,3,14.2,23,3.4,45.6,0,4,698,10,1.47,67.46,12
