Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
12.4675,7,7,15.1,4,11.5,25,3.9,28.6,35,2,313,9,3.37,291.33,15
13.22,2,14,16.5,0,16.3,22,4,46.5,0,4,769,11,0.95,53.11,9
15.65,16,5,16.4,4,12.7,21,3.6,43.8,0,3,418,11,0.64,22.11,10
10.72,12,5,15.4,4,14.1,25,4,41.1,1,2,685,7,3.37,261.16,3
11.983,16,7,15.2,0,10.1,14,4.1,36.8,5,2,803,7,6.44,902.46,12
10.87,16,5,14.6,4,9.8,23,4,46.9,0,2,650,6,1.04,81.26,14
12.10714,14,2,16.0,0,14.3,23,3.6,28.9,31,4,792,8,3.15,406.91,15
11.84666,21,13,16.0,1,11.1,17,3.2,33.1,1,3,731,8,2.82,300.52,8
13.14,12,14,15.6,2,11,24,3.9,34.5,0,4,749,11,0.99,103.17,1
9.986666,16,9,15.8,1,10.9,24,3.5,31.1,1,3,452,9,1.56,299.21,10
11.92888,11,3,16.8,4,14.4,23,4.1,41.4,34,2,327,7,14.84,905.2,4
10.51,17,2,15.4,5,15.4,15,3.7,51.1,0,2,531,6,0.50,33.35,9
12.54333,5,2,15.3,1,13,19,4,34.9,2,2,566,8,2.73,216.26,15
10.665,17,2,16.1,1,15,18,3.7,45.1,5,2,906,7,1.06,84.05,9
12.77,7,14,15.0,3,13.3,23,3.9,46.6,0,3,980,7,1.94,109.6,4
14.24,16,1,17.1,4,14.8,22,3.6,35.3,1,4,923,11,0.55,48.02,10
9.585,16,8,15.8,2,9.7,23,3.9,37.4,0,3,870,7,1.51,170.22,10
10.17333,16,12,15.9,1,11.1,20,3.7,36.6,0,3,643,8,1.34,139.91,10
10.94,21,4,14.6,5,12.5,26,4,44.2,0,2,478,6,0.65,23.86,8
11.13,16,14,15.8,3,10.5,30,3.5,27.8,1,4,665,10,0.92,128.43,10
11.71,5,13,15.0,3,12.3,23,3.5,27.7,0,3,577,8,1.49,95.21,15
14.22,16,7,14.6,1,11.3,18,3.8,34.8,0,2,1802,7,2.95,264.19,6
12.31333,21,14,15.2,3,14.3,22,3.7,32,1,4,905,10,1.72,176.95,4
11.91,16,2,16.5,2,12.4,18,3.8,41.3,0,4,971,11,1.43,142.05,4
11.39,7,7,15.0,0,10.8,17,4.1,36.9,0,2,456,7,0.18,36.36,15
13.42,8,14,14.3,1,10.3,25,3.7,36.9,0,2,479,8,1.10,32.85,13
12.185,7,13,15.7,1,10.7,19,3.8,28.8,1,3,485,8,2.11,203.93,15
14.53,1,2,16.2,2,12.7,25,3.4,28.8,0,4,362,10,2.75,227.31,1
11.53,12,11,14.7,3,9.1,18,4,51.1,0,2,429,6,0.13,11.01,1
11.355,2,14,16.3,1,11,22,3.5,38.7,22,3,758,10,1.40,173.12,15
9.982,10,13,16.5,4,16.8,29,4,34.8,0,4,794,10,3.44,432.07,5
11.305,24,6,17.7,5,16,17,3.7,33.4,1,4,1058,11,3.27,223.32,7
11.59833,19,7,16.4,1,13.8,17,3.6,42.5,1,3,1059,9,5.53,533.32,13
11.38,13,11,17.7,3,19.5,23,3.8,32.1,0,3,947,11,0.27,22.07,5
9.69,24,11,18.1,1,12.9,28,3.7,46.1,0,1,481,6,0.35,26.93,13
14.01666,21,2,17.6,2,15,27,3.8,30.2,0,3,400,9,1.94,166.62,12
12.24,13,2,16.0,0,13.3,24,4,42.6,1,4,320,10,0.87,91.29,2
11.425,14,1,16.0,2,15.6,20,4.1,33.5,0,3,573,8,1.16,94.87,9
11.8,4,3,15.1,1,9.6,24,3.7,33,0,3,678,8,0.23,17.47,13
11.84,12,5,16.4,5,7.9,26,3.7,53.2,1,3,870,11,1.55,94.99,1
13.28,18,11,15.9,1,11.8,18,3.7,48.4,1,3,390,9,1.90,140.58,10
10.915,2,7,15.2,0,11,26,4.1,28.6,93,2,725,8,0.98,87.74,10
10.95,7,7,14.8,2,9.8,17,4,41.4,0,3,724,8,0.96,73.31,15
13.04,16,5,16.3,2,12.8,24,4,40,0,2,369,7,1.08,134.15,12
12.24,2,11,17.0,2,16.1,19,2.9,37.8,0,4,253,10,0.48,56.71,1
9.053333,16,1,19.1,1,19.7,23,4,30,0,2,495,6,2.03,244.65,10
11.91,21,14,15.3,2,13.7,21,3.7,35.1,0,2,666,7,0.39,38.52,8
10.93733,12,14,16.3,1,11.2,22,3.9,22.5,68,3,710,8,8.62,1314.17,1
12.415,7,5,14.6,4,10.6,33,3.8,27.5,2,1,933,6,1.85,452.98,15
10.95333,15,13,16.0,2,13.9,12,3.9,19.8,0,3,854,8,2.06,133.14,7
13.2425,16,7,17.3,2,11.2,23,3.2,27.4,0,2,773,6,2.65,281.74,6
11.89333,4,11,16.1,0,14.5,24,3.4,23.3,6,3,512,10,1.67,295.27,13
12.5,2,3,16.7,0,11.1,20,3.8,34.2,0,3,1209,9,0.64,17.98,9
10.27666,11,5,18.3,1,14.2,22,4.1,32.2,1,1,669,6,1.19,157.69,4
11.935,7,7,14.9,4,14.6,27,3.7,44.4,61,3,462,7,1.11,92.88,15
10.985,5,6,15.8,5,7.5,18,4.1,35.6,1,2,782,7,2.33,201.35,8
12.23,23,13,15.6,5,12.2,25,3.7,27.9,1,3,510,9,2.82,179.97,7
11.00625,7,5,17.2,6,13.3,20,3.9,39.5,2,2,1234,6,6.30,634.25,15
11.259,21,13,16.1,1,12.6,18,3.7,36.9,68,2,1045,8,8.36,741.39,15
13.91,16,4,15.9,1,11.4,23,3.9,29.1,0,3,288,8,1.57,149.23,12
11.94,3,5,15.8,0,12.9,25,3.5,37.6,1,2,886,6,0.62,57.94,13
10.06,14,3,16.4,1,14.1,15,3.8,27.4,1,3,458,10,2.23,232.32,9
10.72,1,1,17.1,0,13.9,20,3.9,33.9,30,2,671,7,0.72,63.53,14
13.43,16,9,16.1,5,10.4,24,3.6,33.9,0,2,397,7,1.46,73.91,6
11.6075,21,13,16.4,3,14.6,24,4.1,43.1,1,4,415,11,3.72,336.34,11
9.225714,11,6,18.8,4,18.8,20,3.9,33.5,4,1,384,6,9.31,441.31,4
12.3,11,11,16.6,1,11.6,23,4,30.1,0,3,911,9,0.42,39.3,4
11.57142,14,5,18.0,7,18.2,28,4.1,48.1,1,1,600,6,5.19,460.65,11
11.14,21,7,14.8,1,14.8,25,3.5,38.5,1,2,912,7,2.37,302.97,11
9.2,17,13,16.4,5,12.2,24,3.9,20.9,1,3,532,11,5.56,314.2,2
13.57,14,1,16.2,0,13.6,21,3.8,34.3,0,4,904,10,0.88,39.04,15
12.74,11,13,16.3,0,12.1,19,4.2,37.8,0,3,558,9,0.91,122.63,15
10.6975,12,13,15.0,0,9.3,21,3.7,25.6,82,2,631,8,3.78,380,3
12.1,21,11,15.6,2,10.5,24,3.8,32.5,0,3,936,8,4.18,302.11,8
10.878,12,4,15.1,3,10.3,23,3.5,38.8,81,3,532,8,4.57,304.52,6
10.73846,7,14,15.5,2,11.6,24,3.8,24.3,3,3,786,7,7.07,927.77,15
12.46,12,14,14.7,2,10.8,18,4.1,34.6,0,3,607,9,1.68,202.14,6
13.7,15,13,15.5,3,18,18,3.6,31.9,23,3,615,10,9.36,1068.17,1
15.09833,21,5,15.6,2,8.7,15,3.6,35.3,2,2,935,7,4.58,363.35,6
12.928,6,5,16.3,7,11,29,3.4,40.3,21,4,1054,11,4.79,339.54,15
13.16,1,2,15.2,0,14,20,3.9,41.9,0,4,991,9,0.60,64.46,1
12.02666,2,14,15.4,3,14.9,22,3.2,34,9,3,740,9,2.27,308.4,9
14.21,15,3,16.8,0,14.1,19,3.8,25.4,0,3,510,9,0.31,24.3,1
12.05,11,7,15.2,1,11.2,21,3.9,26.1,45,3,343,7,2.44,252.34,4
14.188,2,5,16.6,0,13.4,12,3.7,34.9,1,3,542,9,5.67,487.79,9
10.44666,2,14,16.0,2,11.6,21,3.8,14,65,3,997,8,9.90,1173.84,7
13.05,21,13,15.9,3,12.2,20,3.9,39.7,1,3,808,8,1.15,101.46,8
12.975,14,2,16.1,3,17.1,22,3.5,40,1,3,538,10,5.46,443.38,15
10.03166,7,1,16.4,2,12.1,29,3.7,44.2,1,4,531,11,10.86,388.31,8
12.71875,16,5,16.3,1,13.4,14,3.7,21.9,5,3,590,9,9.47,602.27,3
12.83,16,5,17.1,1,15.2,22,3.7,42.4,0,2,940,6,1.86,106.89,6
10.69,24,2,16.2,3,14.8,21,3.3,32.8,1,4,589,10,1.22,93.61,13
12.5875,19,11,16.0,1,11.9,26,3.7,49.3,1,3,527,8,3.67,333.74,5
9.953333,11,13,15.0,3,7.7,19,3.9,41.6,1,2,865,7,1.33,189.33,7
11.76,13,2,16.5,0,12.4,21,3.9,27.9,0,2,804,9,1.67,168.17,5
12.26666,4,14,15.6,0,14.7,17,4.1,46.5,10,3,365,8,2.13,191.96,13
10.17,21,5,16.0,3,12,30,3.7,36.7,114,4,759,9,3.53,350.31,11
12.77333,11,7,15.0,2,9.5,22,3.6,34.7,22,3,724,8,5.03,418.1,7
12.735,21,11,15.9,1,11,21,3.8,38.4,0,3,785,8,1.21,102.31,11
13.05,19,1,16.2,1,16.5,26,3.8,38.5,0,3,366,9,0.40,41.12,5
13.69,16,4,14.8,1,12.6,27,3.8,44.5,0,2,1058,7,0.23,30.93,12
11.97,2,11,17.0,2,10.6,20,3.6,47,120,3,365,8,5.07,494.06,9
9.6375,23,13,15.1,5,11.9,24,3.6,44.5,1,4,1026,10,3.79,280.2,7
13.58,21,13,16.2,3,11.4,19,3.5,31.8,5,4,737,10,4.79,271.13,8
10.59333,22,11,16.0,1,12.7,21,3.7,17.3,103,4,766,9,8.30,974.17,2
15.42333,16,4,14.7,3,13.4,20,4.2,28.4,3,3,321,9,4.79,494.97,6
12.35,7,14,15.7,3,10.3,13,4,37.1,1,3,605,9,1.20,159.28,15
9,15,6,15.5,4,9.7,17,3.6,37.7,1,1,810,6,2.27,197.5,7
12.00666,21,2,16.9,2,13,24,3.6,40.8,36,3,437,10,1.83,198.36,11
11.914,14,7,15.9,1,8.3,22,3.9,33.2,35,3,684,8,3.01,341.24,15
12.69714,7,7,14.4,1,7.7,21,3.8,44,2,3,1039,8,5.25,598.88,4
13.38333,5,3,16.2,1,15.9,14,3.8,33.6,2,2,748,9,1.28,103.28,15
13.24666,24,5,16.3,3,9.8,23,3.9,44.2,2,2,1172,7,2.80,188.37,13
11.33,12,1,16.2,0,14.1,20,3.6,49.9,0,2,537,7,0.46,125.01,3
10.537,12,14,15.2,2,11.9,21,3.6,8.7,61,4,562,10,3.30,699.5,3
12.08111,7,7,15.3,0,12.2,20,3.9,30.3,37,3,619,8,5.12,518.25,15
12.51,14,5,15.3,1,13.7,19,3.6,39,6,3,942,7,4.92,417.38,9
11.764,11,11,15.3,2,11.9,22,3.5,35,1,3,790,8,1.63,357.42,4
13.422,16,5,15.5,2,14.2,27,3.9,39.7,39,3,557,9,2.77,346.42,12
10.49714,17,13,15.6,3,12.8,17,3.7,47.9,30,4,790,10,7.05,461.43,9
10.93,13,11,16.2,2,14.1,24,3.4,47,0,2,903,7,0.91,89.55,9
13.385,1,2,15.1,0,11.4,20,3.5,30.5,1,3,1229,9,1.55,200.45,1
12.9325,2,5,15.8,0,12.8,21,3.9,34.7,15,3,567,9,1.51,196.12,14
11.876,7,11,15.9,0,10.3,19,4.1,33.2,25,3,238,7,0.99,251.47,15
10.85,13,9,15.4,4,11.7,28,3.3,47.7,0,3,620,6,0.47,20.52,3
12.48666,22,2,17.4,3,17.5,20,3.8,29.5,91,4,273,10,3.73,379.86,2
11.01,21,3,17.1,2,12.3,20,3.9,22.9,0,4,825,11,0.44,28.41,15
10.79,16,5,15.3,3,12.6,22,4.1,27.2,0,3,530,7,1.00,133.61,14
10.77,11,2,16.7,3,13.5,23,3.8,31.5,1,3,553,10,7.19,289.4,4
11.91666,5,2,16.6,3,17.1,26,3.6,31.9,0,2,652,7,2.84,313.86,15
14.235,21,7,16.2,2,12.2,17,3.9,28.4,1,4,1003,10,2.08,221.57,6
11.64333,8,13,15.6,3,14.1,20,3.8,44,4,3,679,8,2.07,131.5,10
12.36,19,2,16.2,4,12.4,23,3.7,48.2,0,3,1140,11,1.26,117.54,13
12.28,20,5,14.6,5,6.8,21,3.9,23.3,0,3,656,6,0.88,66.21,4
10.2,16,4,14.8,4,8.9,32,3.1,40.3,25,2,629,6,5.41,438.07,14
11.74,24,2,17.0,4,12.4,26,3.7,29.3,0,4,497,11,0.43,41.75,13
13.21333,16,4,15.6,5,11.9,22,3.5,39.3,0,4,631,11,2.89,244.04,12
12.3525,14,13,16.5,0,13.9,28,3.5,38.6,1,3,1287,9,2.50,314.86,15
11.835,18,7,15.5,2,9.3,21,4.2,39,0,3,1118,10,1.54,238.03,8
11.47,24,14,16.1,3,13.3,24,3.6,41.3,0,3,1247,7,0.26,14.12,13
12.464,12,14,15.4,0,10.1,23,3.3,24.1,1,4,664,10,3.18,430.23,1
13.94,21,7,15.4,0,12.1,21,3.9,39.9,1,3,776,9,1.76,148.24,8
11.405,2,5,15.2,3,13.9,24,4,30.3,0,2,421,7,0.93,150.91,15
9.71375,19,13,16.1,4,13.2,30,3.5,32.3,13,4,405,11,6.50,527.18,13
12.578,12,5,15.7,3,13.2,24,4.2,20.8,0,4,731,10,3.24,310.84,10
12.93,12,4,15.3,2,12.7,23,3.8,36,1,3,891,8,0.33,58.42,3
10.58857,16,4,14.6,4,12.4,25,4.2,35.4,1,3,414,10,4.17,359.58,6
11.72,16,14,15.6,2,10.7,21,3.8,35.5,46,2,553,7,0.28,33.32,10
10.56,2,13,16.1,1,10.4,23,3.8,58,0,2,721,7,0.19,21.39,14
8.925,16,5,18.1,1,15.1,19,3.8,38.6,1,2,939,6,1.14,150.47,10
15.76,9,9,16.3,1,13,23,3.7,40.2,0,2,503,8,1.72,51,12
10.53,16,8,16.0,0,12.1,16,3.6,29,0,3,728,9,0.53,111.09,14
11.63,5,5,17.4,2,15.8,23,3.8,35.4,6,3,688,6,3.74,375.59,4
12.19333,12,5,15.7,2,14.7,17,3.5,29.7,1,2,610,7,1.90,198.31,1
10.25,13,11,15.2,1,11.4,23,3.8,35.3,0,3,832,8,0.68,41.37,5
12.99,22,13,15.0,0,11.5,15,3.9,38.8,0,3,531,8,0.46,14.83,2
11.3875,14,7,14.8,1,8,20,3.9,42.6,1,3,763,7,3.78,452.14,15
13.34,21,7,15.9,3,11.9,15,3.7,33.5,0,3,428,9,0.72,134.62,8
14.29,5,7,15.1,2,8.8,23,3.9,33,0,3,822,10,2.00,118.97,10
12.218,21,13,15.8,2,10.8,21,3.5,27.2,82,3,518,9,4.46,366.09,8
10.39,7,2,18.8,4,16.8,21,3.5,45.4,0,2,770,6,0.59,31.65,15
11.5,13,14,15.8,0,10.4,21,3.7,41.8,16,3,652,10,1.44,63.53,3
12.97555,23,13,15.6,5,13.3,23,3.6,51.6,41,4,544,9,6.99,576.83,10
13.695,17,5,15.0,5,11.3,20,3.8,29,0,3,835,7,1.95,138.29,9
13.435,24,14,15.8,1,16.1,24,3.9,44.2,0,2,1377,7,1.08,93.4,13
11.56333,21,2,16.0,4,9.9,23,3.3,24.7,3,3,686,9,3.06,134.45,8
12.1,2,13,16.8,0,11.5,19,3.8,33,2,4,1206,10,3.90,468.34,14
11.97727,2,7,15.5,2,7.7,13,3.7,32.4,19,3,257,10,5.76,649.74,11
13.36,2,11,16.0,2,14.6,20,4,34,0,3,841,10,0.47,42.46,1
12.81625,2,13,16.3,4,15.6,16,3.6,49.5,1,3,985,11,8.41,817.49,14
12.145,11,7,16.0,1,13.8,26,3.4,35.7,1,2,432,8,4.53,312.59,4
11.795,8,7,14.7,2,8,22,4,40,0,2,677,8,3.14,183.09,10
12.38,16,4,16.0,0,12.7,23,3.7,38.2,1,3,431,6,2.57,225.6,12
12.04666,16,8,15.6,1,6.2,21,3.7,37.7,0,3,159,7,1.21,196.6,12
13.24333,14,2,16.6,3,14.2,27,3.8,42.5,2,3,520,10,1.75,120.95,1
12.648,5,7,14.8,1,11.5,24,3.6,29.5,36,2,734,8,5.20,473.88,15
12.27,21,5,15.8,0,12.2,24,3.7,45.8,0,3,1129,8,0.45,58.22,10
8.99375,12,14,15.0,3,11.3,23,3.7,37,24,2,548,7,4.71,628.97,2
11.33428,11,13,15.9,2,13.8,23,3.4,29.4,24,3,897,10,5.07,590.75,4
12.68,16,5,16.0,3,10.7,24,4,48.9,0,3,512,10,1.93,36.93,8
11.906,6,5,15.0,0,10,18,4,32.6,2,2,620,8,2.87,319.99,3
11.554,12,14,15.3,0,15.4,16,4,32.2,69,3,529,8,1.48,191.77,1
13.74,16,7,14.8,3,12.5,17,3.9,47.9,0,2,505,7,1.26,38.85,12
12.63,14,11,17.7,1,12,21,4,40.3,6,3,858,11,1.52,88.93,7
9.87,14,5,15.6,3,13.6,18,3.8,51.6,0,2,1262,6,1.79,135.79,11
12.72,7,3,17.0,4,12.8,25,3.6,43.7,0,3,647,10,0.64,65.88,15
10.62333,5,2,16.1,3,12.4,22,4.1,33.2,0,3,369,9,2.22,149.49,10
12.303,5,5,15.2,4,9,32,3.8,21.4,10,3,1283,7,6.85,661.76,4
11.36,15,5,16.6,1,13.4,18,3.7,32.9,0,2,621,7,0.54,39.32,1
15.09666,9,5,15.6,0,9.8,14,3.7,29.6,0,3,721,10,2.81,306.97,12
12.15,2,5,14.8,4,12.3,20,3.6,30.5,0,2,831,7,1.62,172.95,15
14.296,16,3,15.2,3,11.4,26,3.6,38.3,47,3,987,8,1.23,261.51,12
11.23,12,5,15.7,1,13.6,21,4,47.9,0,3,577,10,0.35,34.39,1
11.29,2,10,15.3,1,13.8,18,3.6,33.5,0,3,797,7,0.78,102.32,14
11.44333,13,14,15.7,1,15.4,23,3.3,61.2,56,3,499,8,2.31,205.52,5
11.125,3,13,15.1,3,7.5,20,4,28.4,38,3,1369,9,3.63,377.5,2
11.008,12,4,15.5,4,13.6,25,3.9,28.6,30,2,475,7,0.49,386.64,3
12.25,24,7,15.0,0,12.1,22,4,41.9,0,4,519,9,0.63,34.64,9
13.1175,21,7,14.9,1,12.4,22,3.6,33.9,0,4,440,8,2.46,295.92,4
12.32,2,14,15.2,0,8.4,20,3.7,31.2,0,3,1029,9,0.25,45.85,9
12.3,23,1,16.1,4,8.9,17,3.9,31.9,0,4,642,10,0.53,64.67,10
10.10833,8,7,16.0,0,12.6,25,3.6,36,1,3,1115,7,1.65,277.51,10
13.64,21,7,16.5,3,9.8,26,3.8,39.3,24,3,720,11,3.06,252.8,8
14.255,10,4,15.9,2,11.5,23,3.7,23,0,3,548,9,2.52,268.12,5
12.565,21,7,15.2,0,12.7,18,3.6,37.3,1,2,935,9,3.50,302.6,8
11.74,19,13,16.8,5,15.4,21,3.8,45.8,1,3,636,11,1.43,80.73,5
11.215,8,14,15.3,2,12.1,13,3.7,40.8,0,2,216,7,1.94,187.2,8
10.88,14,1,16.6,5,13.2,29,3.6,38.3,1,2,559,7,1.63,173.46,11
9.43,16,14,14.6,1,10.6,21,3.7,40.4,0,3,887,10,0.48,55.06,6
12.57,16,10,16.1,2,11.9,18,3.8,28.4,0,3,957,9,0.60,47.59,6
12.81,14,2,17.2,4,16,25,3.9,53.6,1,3,941,11,3.54,286.75,11
11.03333,13,11,15.2,1,7.9,15,3.4,25.6,0,3,835,8,1.67,194.61,5
11.57,2,13,15.7,3,13.1,16,3.6,37.1,87,3,722,9,1.89,140.66,9
14.87,19,14,14.7,0,11.7,23,3.8,27.7,0,3,709,7,1.10,126.85,13
12.665,13,7,16.4,1,13.7,20,4,53.9,1,3,622,9,5.50,475.25,9
12.92,3,5,16.0,0,11.1,20,3.9,34.7,5,2,875,7,0.92,54.22,13
11.51,16,4,16.0,0,13,23,3.7,36,2,2,564,7,6.59,472.99,4
10.09,16,5,16.3,2,14.6,23,3.5,38.3,19,4,669,11,1.20,188.83,10
13.03,7,2,16.4,0,10.1,21,3.9,31.4,2,3,1195,8,2.66,356.39,11
12.025,2,5,16.2,5,15.9,24,3.9,25.4,1,4,448,11,3.85,267.25,14
10.71,21,14,15.3,3,13.2,25,3.5,32.2,0,3,926,7,1.39,118.04,11
11.2475,12,2,16.6,3,9.7,15,3.9,28.9,99,4,622,9,1.54,279.55,2
10.405,21,4,16.0,4,11.9,24,3.6,34.5,0,2,577,6,0.89,97.78,4
12.885,21,11,15.7,0,13.2,18,3.7,42,24,2,729,9,2.10,218.31,8
12.00846,14,14,15.5,0,7.5,17,3.9,37,67,3,755,10,8.23,982.61,11
12.13,13,3,16.0,1,11,17,3.8,38.8,0,3,888,10,0.57,48.89,5
11.35,16,5,15.0,4,12.3,16,3.9,41.4,1,3,392,7,2.94,281.99,3
12.09,21,3,16.3,3,8.9,20,4,35.2,0,4,1042,11,0.14,8.97,8
12.02,21,4,14.9,3,8.4,24,4.1,19.4,3,2,624,6,2.23,275.84,8
11.33333,21,5,15.3,2,11.3,22,4.1,47.5,13,2,1579,8,1.93,184.81,8
10.7,5,7,16.4,2,13.7,17,3.8,36.1,0,3,1067,9,2.00,181.48,10
13.045,24,13,16.2,4,15.6,20,3.6,41.9,2,3,463,9,8.65,600.6,7
11.29,7,13,16.7,2,14.4,16,3.7,51.8,0,3,901,10,1.71,211.72,11
13.568,21,7,15.1,0,12,19,3.5,38.4,32,3,519,8,4.12,447.18,8
11.436,16,14,15.4,2,14.5,19,4,47.6,1,3,429,10,3.19,158.83,15
11.3925,2,2,15.6,3,13.2,23,4.1,38,3,3,708,9,9.40,1100.98,15
10.57666,16,13,16.5,0,10.9,17,4,29.5,1,4,794,9,2.43,281.47,10
12.77625,16,5,15.6,0,10.5,19,4,31.7,2,3,421,8,2.80,387.17,14
12.32,11,13,15.4,0,14,13,3.7,34.4,32,3,760,8,1.56,381.22,4
8.98,19,13,16.1,1,12.8,17,3.6,36.3,0,3,617,7,1.86,129.14,2
13.36,7,7,16.0,0,14,17,3.6,42.5,0,4,1101,10,2.00,255.77,11
13.44,21,13,15.8,3,16,14,3.7,27,1,3,725,10,2.68,263.44,8
10.25,12,1,16.6,3,15.6,22,3.8,29.6,0,2,693,7,0.66,107.86,1
14.354,21,9,17.6,5,13.7,19,3.8,37.4,8,4,590,11,4.00,209.01,8
9.005833,12,14,16.5,3,9.6,19,4,29.6,48,3,477,10,8.82,1109.57,14
11.662,5,11,16.7,2,13.7,26,3.3,19.5,2,3,1185,10,6.61,596.86,15
11.78,16,14,15.5,0,12.3,27,3.7,40.3,0,3,593,9,0.51,43.11,3
13.02,3,11,15.9,2,11.9,18,3.8,25.6,0,3,716,8,0.76,53.89,13
11.24,14,13,15.2,3,10.5,23,4,29.4,1,4,886,10,2.72,293,15
10.895,8,13,15.9,4,11.4,29,3.5,39.2,1,3,1376,9,1.45,108.92,10
9.882,12,4,16.1,5,14.9,30,3.6,24.2,1,2,295,6,5.21,640.85,9
10.83,16,9,16.2,4,11.6,24,3.5,43.6,0,1,1025,7,0.78,36.31,10
13.8025,24,11,16.1,0,16.5,19,3.7,38.8,66,3,1098,9,3.93,290.72,9
11.27666,16,7,15.2,1,15,21,4,37.7,1,3,540,8,2.22,197.35,10
9.288,2,7,15.9,1,14.2,21,3.6,22.8,1,2,509,6,4.40,561.93,15
11.80333,2,7,15.5,1,13.9,15,4,43.8,0,4,439,10,2.35,281.58,9
11.81888,12,14,15.6,0,16.6,17,3.8,27.9,41,2,819,8,3.82,552.38,1
11.9,7,3,16.7,0,14.4,23,3.8,53.3,0,3,426,10,0.49,44.65,15
8.755,10,5,16.5,0,9.6,16,3.7,30,2,3,1097,9,4.01,419.64,3
11.23,2,7,14.8,1,10,16,4,40.8,3,4,506,10,6.40,762.34,9
13.40833,16,7,16.0,2,13.5,17,4.1,28,1,3,326,8,3.23,403.33,6
10.49,16,5,15.4,0,11.7,18,3.9,48,0,3,614,9,0.40,32.87,3
12.38,2,2,16.7,1,15.8,19,4,30.9,0,3,595,10,0.67,73.64,15
11.19,14,13,16.7,0,12.4,26,4,34.4,0,4,327,10,0.74,76.76,9
12.43,2,2,16.0,0,13.1,19,3.1,42.4,1,3,1054,10,0.97,131.65,9
